cell,model,architecture,protocol,n,good_wins,mafia_wins,good_win_rate,avg_days,avg_parse_failures,avg_invalid_actions,avg_api_errors,avg_discussion_messages,avg_waits,avg_scheduler_calls,avg_scheduler_rounds,avg_candidate_messages,avg_deferred_messages,avg_revac_review_calls,avg_moderator_scheduler_calls,avg_moderator_generator_calls,avg_moderator_interventions,avg_moderator_wait_decisions,avg_moderator_forced_interventions,avg_moderator_parse_failures,avg_moderator_gap_seconds,avg_moderator_rate_deviation,avg_forced_floor_messages,avg_forced_floor_attempts,avg_role_claims,avg_false_role_claims,avg_role_claim_deception_rate,avg_mafia_false_claims,avg_good_false_claims,avg_doctor_saves,avg_mafia_kill_votes,avg_tie_no_eliminations,avg_mafia_alive_final,avg_quality_offer_count,avg_offer_quality,avg_offer_redundancy_risk,avg_selected_quality,avg_low_quality_offer_count,avg_sec
claude_opus_4_8_grail,bcaf873fa1,mixed,moderated_quality_time_to_talk,3,1,2,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0,7.333333333333333,1.6666666666666667,9.0,9.0,0.0,0.0,0.0,9.0,7.333333333333333,7.333333333333333,1.6666666666666667,0.0,0.0,15.888888888888888,0.0787037037037037,0.0,0.0,1.3333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.6666666666666666,4.0,0.0,1.3333333333333333,7.333333333333333,3.7222222222222228,0.25,3.7222222222222228,0.0,163.93233333333333
claude_opus_4_8_holy_grail,c2a7577b68,mixed,moderated_quality_time_to_talk,3,2,1,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,9.0,2.3333333333333335,11.333333333333334,11.333333333333334,0.0,0.0,0.0,11.333333333333334,9.0,9.0,2.3333333333333335,0.0,0.0,15.0,0.11111111111111112,0.0,0.0,2.3333333333333335,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.0,1.6666666666666667,4.666666666666667,0.0,0.6666666666666666,9.0,4.462121212121212,0.8522727272727272,4.462121212121212,0.0,142.191
claude_opus_4_8_revac,907ebde215,mixed,moderated_quality_time_to_talk,3,2,1,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,26.666666666666668,10.0,8.0,8.0,2.0,0.0,0.0,16.0,0.09037037037037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.6666666666666666,8.0,3.6446886446886446,0.34249084249084244,3.6446886446886446,0.0,313.3106666666667
