epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.006728456323907887,,,,,1.0570052862167358,8e-05,0.08386457443237305,25,,,,,
0.013456912647815775,,,,,6.201351642608643,9.990536180750725e-05,0.057547478675842284,50,,,,,
0.020185368971723662,,,,,0.21470487117767334,9.949316505308271e-05,0.058429169654846194,75,,,,,
0.02691382529563155,,,,,20.104270935058594,9.875667032080353e-05,0.04986179828643799,100,,,,,
0.03364228161953944,,,,,0.09364281594753265,9.770070340332456e-05,0.04525907039642334,125,,,,,
0.040370737943447324,,,,,0.24686747789382935,9.633218339615433e-05,0.043472299575805666,150,,,,,
0.04709919426735521,,,,,0.15568123757839203,9.466007736111847e-05,0.04877487182617188,175,,,,,
0.0538276505912631,,,,,0.30444884300231934,9.269534157077177e-05,0.045242810249328615,200,,,,,
0.060556106915170986,,,,,0.1388668715953827,9.045084971874738e-05,0.04280729293823242,225,,,,,
0.06728456323907887,,,,,0.500821053981781,8.794130856643634e-05,0.04377752780914307,250,,,,,
0.06728456323907887,0.7486645579338074,255.4856,7.828,1.957,,,,250,,,,,
0.07401301956298677,,,,,0.2773810923099518,8.518316157871231e-05,0.04456664085388184,275,,,,,
0.08074147588689465,,,,,0.10794515162706375,8.219448118011688e-05,0.04039994239807129,300,,,,,
0.08746993221080254,,,,,1.7664525508880615,7.89948503374835e-05,0.04343362331390381,325,,,,,
0.09419838853471042,,,,,0.17911352217197418,7.560523424491595e-05,0.03949350118637085,350,,,,,
0.10092684485861832,,,,,0.32854464650154114,7.204784295188959e-05,0.04080306053161621,375,,,,,
0.1076553011825262,,,,,1.0537151098251343,6.834598583458862e-05,0.039184560775756834,400,,,,,
0.11438375750643409,,,,,0.18012148141860962,6.452391886403767e-05,0.042322325706481936,425,,,,,
0.12111221383034197,,,,,0.06437980383634567,6.06066856717856e-05,0.04170685768127441,450,,,,,
0.12784067015424985,,,,,0.14434301853179932,5.6619953454538664e-05,0.040998010635375975,475,,,,,
0.13456912647815775,,,,,0.05621681734919548,5.258984479295852e-05,0.03966026306152344,500,,,,,
0.13456912647815775,0.6197620630264282,255.2699,7.835,1.959,,,,500,,,,,
0.14129758280206564,,,,,0.05572718009352684,4.854276648661203e-05,0.03904350996017456,525,,,,,
0.14802603912597354,,,,,0.04790634289383888,4.450523652661086e-05,0.03893828630447388,550,,,,,
0.1547544954498814,,,,,0.03774811699986458,4.050371033968216e-05,0.038523547649383545,575,,,,,
0.1614829517737893,,,,,0.03740018978714943,3.656440744218464e-05,0.0379331111907959,600,,,,,
0.1682114080976972,,,,,0.09139508008956909,3.271313963989886e-05,0.03632893800735473,625,,,,,
0.17493986442160508,,,,,0.056440941989421844,2.8975141899291775e-05,0.03843862533569336,650,,,,,
0.18166832074551295,,,,,0.03569776564836502,2.537490699845109e-05,0.035997483730316165,675,,,,,
0.18839677706942085,,,,,0.055772196501493454,2.193602504111927e-05,0.03643160820007324,700,,,,,
0.19512523339332874,,,,,0.04619627818465233,1.8681028885391904e-05,0.036060910224914554,725,,,,,
0.20185368971723663,,,,,0.2561314105987549,1.563124649989043e-05,0.03564302921295166,750,,,,,
0.20185368971723663,0.5867171883583069,255.1524,7.838,1.96,,,,750,,,,,
0.2085821460411445,,,,,0.07044772058725357,1.2806661214827287e-05,0.03493070602416992,775,,,,,
0.2153106023650524,,,,,0.0655519887804985,1.022578078365169e-05,0.03358109951019287,800,,,,,
0.2220390586889603,,,,,0.731774091720581,7.905516113233653e-06,0.03624152421951294,825,,,,,
0.22876751501286818,,,,,0.07610701024532318,5.86107045719208e-06,0.03783742666244507,850,,,,,
0.23549597133677605,,,,,0.08764801919460297,4.10583979841424e-06,0.035051467418670657,875,,,,,
0.24222442766068394,,,,,0.05799392610788345,2.65132507349814e-06,0.03469264507293701,900,,,,,
0.24895288398459184,,,,,0.05183686316013336,1.507056814256491e-06,0.036923513412475586,925,,,,,
0.2556813403084997,,,,,0.03994230180978775,6.805327000596995e-07,0.03474743127822876,950,,,,,
0.2624097966324076,,,,,0.06574764102697372,1.7716843019867646e-07,0.035111229419708255,975,,,,,
0.2691382529563155,,,,,0.051866061985492706,2.622381702066523e-10,0.03354644775390625,1000,,,,,
0.2691382529563155,0.5770275592803955,255.7719,7.819,1.955,,,,1000,,,,,
0.2691382529563155,,,,,,,,1000,1.2063601600081428e+18,0.041440205514431,20352.4056,0.786,0.049
