model,architecture,n,good_wins,mafia_wins,good_win_rate,mafia_win_rate,avg_days,avg_elapsed_sec,avg_llm_calls,avg_revac_review_calls,avg_holy_grail_guardrail_checks,avg_holy_grail_target_overrides,avg_holy_grail_message_overrides,avg_good_vote_accuracy,avg_mafia_vote_accuracy,avg_detective_hit_rate,avg_doctor_saves,avg_doctor_protected_detective,avg_mafia_alive_final,avg_role_claims,avg_false_role_claims,avg_role_claim_deception_rate,avg_discussion_messages,avg_moderator_scheduler_calls,avg_moderator_generator_calls,avg_moderator_send_decisions,avg_moderator_wait_decisions,avg_moderator_interventions,avg_moderator_gap_seconds,avg_moderator_rate_deviation,avg_selected_quality,avg_offer_quality,total_api_errors,total_parse_failures,total_invalid_actions,total_moderator_parse_failures
Mafia Gemma BF16,Holy Grail,3,3,0,1.0,0.0,3.0,232.12433333333334,38.0,0.0,26.333333333333332,26.333333333333332,1.6666666666666667,0.6777777777777778,1.0,0.3888888888888889,2.3333333333333335,0.6666666666666666,0.0,2.6666666666666665,0.3333333333333333,0.16666666666666666,11.666666666666666,14.666666666666666,11.666666666666666,11.666666666666666,3.0,11.666666666666666,15.722222222222221,0.0787037037037037,4.233333333333333,4.233333333333333,0,0,0,0
Mafia Gemma BF16,ReVAC,3,0,3,0.0,1.0,2.3333333333333335,454.263,63.666666666666664,24.666666666666668,0.0,0.0,0.0,0.0787037037037037,1.0,0.16666666666666666,1.0,0.3333333333333333,2.0,0.6666666666666666,0.0,0.0,6.333333333333333,8.0,6.333333333333333,6.333333333333333,1.6666666666666667,6.333333333333333,15.38888888888889,0.1274074074074074,3.5714285714285716,3.5714285714285716,0,0,0,0
Mafia Gemma BF16,GRAIL,3,0,3,0.0,1.0,2.3333333333333335,111.00633333333333,39.666666666666664,0.0,0.0,0.0,0.0,0.11574074074074074,1.0,0.2777777777777778,1.0,0.3333333333333333,2.0,1.0,0.3333333333333333,0.3333333333333333,6.333333333333333,8.0,6.333333333333333,6.333333333333333,1.6666666666666667,6.333333333333333,15.277777777777779,0.1274074074074074,4.142857142857143,4.142857142857143,0,0,0,0
GPT-5-mini,Holy Grail,3,2,1,0.6666666666666666,0.3333333333333333,3.0,170.55166666666668,35.666666666666664,0.0,25.0,25.0,4.333333333333333,0.5572390572390572,1.0,0.5555555555555556,1.6666666666666667,0.6666666666666666,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.1111111111111111,11.0,13.666666666666666,11.0,11.0,2.6666666666666665,11.0,13.5,0.0787037037037037,4.586117586117586,4.586117586117586,0,0,0,0
GPT-5-mini,ReVAC,3,1,2,0.3333333333333333,0.6666666666666666,2.3333333333333335,285.56533333333334,72.0,26.666666666666668,0.0,0.0,0.0,0.2833333333333333,1.0,0.6666666666666666,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,8.333333333333334,10.333333333333334,8.333333333333334,8.333333333333334,2.0,8.333333333333334,15.222222222222221,0.11814814814814814,4.190476190476191,4.190476190476191,0,0,0,0
GPT-5-mini,GRAIL,3,0,3,0.0,1.0,3.0,196.75366666666667,47.666666666666664,0.0,0.0,0.0,0.0,0.48484848484848486,1.0,0.3333333333333333,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,8.0,10.333333333333334,8.0,8.0,2.3333333333333335,8.0,14.833333333333334,0.1527777777777778,4.373737373737374,4.373737373737374,0,0,0,0
Claude Opus 4.8,Holy Grail,3,2,1,0.6666666666666666,0.3333333333333333,2.6666666666666665,142.191,29.333333333333332,0.0,22.666666666666668,22.666666666666668,2.0,0.6111111111111112,1.0,0.2777777777777778,1.6666666666666667,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.2222222222222222,9.0,11.333333333333334,9.0,9.0,2.3333333333333335,9.0,15.0,0.11111111111111112,4.462121212121212,4.462121212121212,0,0,0,0
Claude Opus 4.8,ReVAC,3,2,1,0.6666666666666666,0.3333333333333333,2.3333333333333335,313.31066666666663,71.33333333333333,26.666666666666668,0.0,0.0,0.0,0.662962962962963,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,8.0,10.0,8.0,8.0,2.0,8.0,16.0,0.09037037037037036,3.6446886446886446,3.6446886446886446,0,0,0,0
Claude Opus 4.8,GRAIL,3,1,2,0.3333333333333333,0.6666666666666666,2.3333333333333335,163.93233333333333,41.666666666666664,0.0,0.0,0.0,0.0,0.4551282051282051,0.9166666666666666,0.3888888888888889,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.08333333333333333,7.333333333333333,9.0,7.333333333333333,7.333333333333333,1.6666666666666667,7.333333333333333,15.88888888888889,0.0787037037037037,3.7222222222222223,3.7222222222222223,0,0,0,0
