cell,model,architecture,protocol,n,good_wins,mafia_wins,good_win_rate,avg_days,avg_parse_failures,avg_invalid_actions,avg_api_errors,avg_discussion_messages,avg_waits,avg_scheduler_calls,avg_scheduler_rounds,avg_candidate_messages,avg_deferred_messages,avg_revac_review_calls,avg_moderator_scheduler_calls,avg_moderator_generator_calls,avg_moderator_interventions,avg_moderator_wait_decisions,avg_moderator_forced_interventions,avg_moderator_parse_failures,avg_moderator_gap_seconds,avg_moderator_rate_deviation,avg_forced_floor_messages,avg_forced_floor_attempts,avg_role_claims,avg_false_role_claims,avg_role_claim_deception_rate,avg_mafia_false_claims,avg_good_false_claims,avg_doctor_saves,avg_mafia_kill_votes,avg_tie_no_eliminations,avg_mafia_alive_final,avg_quality_offer_count,avg_offer_quality,avg_offer_redundancy_risk,avg_selected_quality,avg_low_quality_offer_count,avg_sec
allstar_holy_grail_rotation_0,c5c847e741,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,11.666666666666666,0.07999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,4.5,0.625,4.5,0.0,338.771
allstar_holy_grail_rotation_1,8e81c36d35,mixed,moderated_quality_time_to_talk,1,0,1,0.0,2.0,0.0,0.0,0.0,10.0,2.0,12.0,12.0,0.0,0.0,0.0,12.0,10.0,10.0,2.0,0.0,0.0,15.666666666666666,0.07999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,10.0,3.8,0.8,3.8,0.0,178.573
allstar_holy_grail_rotation_2,f9a50ea66f,mixed,moderated_quality_time_to_talk,1,1,0,1.0,3.0,0.0,0.0,0.0,16.0,5.0,20.0,20.0,0.0,0.0,0.0,20.0,16.0,16.0,5.0,1.0,0.0,15.0,0.07999999999999999,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,16.0,4.5,0.875,4.5,0.0,316.224
allstar_holy_grail_rotation_3,ee43eca4b8,mixed,moderated_quality_time_to_talk,1,1,0,1.0,2.0,0.0,0.0,0.0,8.0,4.0,11.0,11.0,0.0,0.0,0.0,11.0,8.0,8.0,4.0,1.0,0.0,14.0,0.07999999999999999,1.0,0.0,4.0,1.0,0.25,1.0,0.0,1.0,3.0,0.0,0.0,8.0,4.75,1.0,4.75,0.0,168.239
