model,comparison,good_win_rate_delta,good_vote_accuracy_delta,detective_hit_rate_delta,mafia_alive_final_delta,llm_calls_delta,elapsed_sec_delta
Mafia Gemma BF16,Holy Grail - ReVAC,1.0,0.5990740740740741,0.22222222222222224,-2.0,-25.666666666666664,-222.13866666666664
Mafia Gemma BF16,Holy Grail - GRAIL,1.0,0.5620370370370371,0.1111111111111111,-2.0,-1.6666666666666643,121.11800000000001
GPT-5-mini,Holy Grail - ReVAC,0.3333333333333333,0.2739057239057239,-0.11111111111111105,-0.6666666666666666,-36.333333333333336,-115.01366666666667
GPT-5-mini,Holy Grail - GRAIL,0.6666666666666666,0.07239057239057234,0.22222222222222227,-0.6666666666666666,-12.0,-26.201999999999998
Claude Opus 4.8,Holy Grail - ReVAC,0.0,-0.051851851851851816,-0.38888888888888884,0.0,-42.0,-171.11966666666663
Claude Opus 4.8,Holy Grail - GRAIL,0.3333333333333333,0.15598290598290604,-0.1111111111111111,-0.6666666666666666,-12.333333333333332,-21.74133333333333
